Year,Race,Driver,Team,LapNumber,Compound,TyreLife,Stint,Position,TrackStatus,LapTimeSeconds,DrivingStyleCluster,DrivingStyle
2024.0,Spain,HAM,Mercedes,23.0,MEDIUM,7.0,2.0,5.0,1.0,79.788,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,24.0,MEDIUM,8.0,2.0,4.0,1.0,80.059,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,25.0,MEDIUM,9.0,2.0,3.0,1.0,79.972,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,26.0,MEDIUM,10.0,2.0,3.0,1.0,79.915,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,27.0,MEDIUM,11.0,2.0,3.0,1.0,80.59,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,28.0,MEDIUM,12.0,2.0,3.0,1.0,80.236,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,29.0,MEDIUM,13.0,2.0,3.0,1.0,79.757,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,30.0,MEDIUM,14.0,2.0,3.0,1.0,79.896,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,31.0,MEDIUM,15.0,2.0,3.0,1.0,80.327,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,32.0,MEDIUM,16.0,2.0,4.0,1.0,81.357,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,33.0,MEDIUM,17.0,2.0,4.0,1.0,80.258,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,34.0,MEDIUM,18.0,2.0,4.0,1.0,79.986,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,35.0,MEDIUM,19.0,2.0,4.0,1.0,80.651,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,36.0,MEDIUM,20.0,2.0,3.0,1.0,80.606,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,37.0,MEDIUM,21.0,2.0,3.0,1.0,79.404,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,38.0,MEDIUM,22.0,2.0,3.0,1.0,79.658,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,39.0,MEDIUM,23.0,2.0,3.0,1.0,80.037,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,40.0,MEDIUM,24.0,2.0,3.0,1.0,80.032,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,41.0,MEDIUM,25.0,2.0,3.0,1.0,79.6,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,42.0,MEDIUM,26.0,2.0,3.0,1.0,80.224,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,43.0,MEDIUM,27.0,2.0,4.0,1.0,84.149,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,44.0,SOFT,4.0,3.0,7.0,1.0,96.194,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,45.0,SOFT,5.0,3.0,7.0,1.0,78.759,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,46.0,SOFT,6.0,3.0,5.0,1.0,77.809,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,47.0,SOFT,7.0,3.0,5.0,1.0,78.212,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,48.0,SOFT,8.0,3.0,4.0,1.0,78.84,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,49.0,SOFT,9.0,3.0,4.0,1.0,78.976,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,50.0,SOFT,10.0,3.0,4.0,1.0,78.209,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,51.0,SOFT,11.0,3.0,4.0,1.0,78.277,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,52.0,SOFT,12.0,3.0,3.0,1.0,78.417,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,53.0,SOFT,13.0,3.0,3.0,1.0,78.605,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,54.0,SOFT,14.0,3.0,3.0,1.0,78.533,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,55.0,SOFT,15.0,3.0,3.0,1.0,78.788,3.0,Fast & Efficient Driver
