Driver,TyreLife,LapTimeSeconds
RUS,18.0,89.63859090909091
RUS,19.0,88.95926315789474
RUS,20.0,88.62864705882352
RUS,21.0,88.83264285714286
RUS,22.0,89.50399999999999
RUS,23.0,89.50281818181817
RUS,24.0,89.440125
RUS,25.0,91.52714285714286
RUS,26.0,92.68333333333334
RUS,27.0,92.55725
RUS,28.0,87.673
RUS,29.0,87.803
RUS,30.0,87.928
RUS,31.0,92.218
RUS,32.0,92.3065
RUS,33.0,92.1235
RUS,34.0,92.578
RUS,35.0,92.39150000000001
SAI,1.0,104.80574999999999
SAI,2.0,89.01433333333333
SAI,3.0,89.89747826086956
SAI,4.0,90.66742307692309
SAI,5.0,90.87831034482758
SAI,6.0,91.00843333333334
SAI,7.0,91.01746666666666
SAI,8.0,91.13470000000001
SAI,9.0,90.84886206896553
SAI,10.0,91.12403448275863
SAI,11.0,91.52546666666667
SAI,12.0,91.44135714285714
SAI,13.0,91.47282758620689
SAI,14.0,91.17721428571429
SAI,15.0,91.31033333333333
SAI,16.0,91.30352
SAI,17.0,90.817
SAI,18.0,90.78395238095239
SAI,19.0,90.80805555555555
SAI,20.0,90.08213333333333
SAI,21.0,90.58099999999999
SAI,22.0,90.25091666666667
SAI,23.0,88.70779999999999
SAI,24.0,88.7851
SAI,25.0,86.356375
SAI,26.0,89.48475
SAI,27.0,87.12899999999999
SAI,28.0,88.972
SAI,29.0,89.34866666666666
SAI,30.0,89.77733333333333
SAI,31.0,91.61375000000001
SAI,32.0,91.78325000000001
SAI,33.0,91.06700000000001
SAI,34.0,93.31366666666666
SAI,35.0,98.1955
SAI,36.0,98.2695
SAI,37.0,98.54750000000001
SAI,38.0,98.9355
SAI,39.0,98.499
SAI,40.0,99.098
SAI,41.0,98.666
SAI,42.0,98.219
SAI,43.0,98.131
SAI,44.0,98.154
SAI,45.0,98.275
SAI,46.0,98.558
SAI,47.0,98.838
SAI,48.0,98.3
SAI,49.0,99.771
SAR,1.0,109.37854545454546
SAR,2.0,90.3582142857143
SAR,3.0,91.56573333333333
SAR,4.0,93.49926315789473
SAR,5.0,91.94563157894737
